epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1696.01,0.84373,0.46864,0.85792,0.94295,0.94578,0.961,0.74051,0.8134,0.43083,0.88917,0.000709809,0.000709809,0.000709809
60,1728.34,0.83994,0.46276,0.85996,0.96917,0.88758,0.94821,0.71981,0.78315,0.44578,0.88091,0.000693305,0.000693305,0.000693305
61,1759.02,0.82396,0.45897,0.85444,0.96274,0.89687,0.94927,0.70936,0.82899,0.43991,0.88574,0.000676802,0.000676802,0.000676802
62,1787.65,0.8339,0.46379,0.86031,0.96374,0.91867,0.95963,0.74309,0.784,0.42817,0.88052,0.000660299,0.000660299,0.000660299
63,1816.53,0.83037,0.46217,0.85982,0.93656,0.915,0.95938,0.72285,0.80601,0.42959,0.88807,0.000643795,0.000643795,0.000643795
64,1844.95,0.81569,0.45959,0.8618,0.9673,0.92449,0.96174,0.71911,0.79489,0.42179,0.87934,0.000627292,0.000627292,0.000627292
65,1873.07,0.81638,0.44871,0.86065,0.96243,0.89989,0.9625,0.73291,0.75553,0.41695,0.87471,0.000610789,0.000610789,0.000610789
66,1901.62,0.82656,0.45408,0.85836,0.94559,0.92097,0.94481,0.73347,0.7792,0.42627,0.87978,0.000594286,0.000594286,0.000594286
67,1929.8,0.81721,0.44805,0.85445,0.96594,0.89707,0.95207,0.72812,0.828,0.43783,0.88752,0.000577782,0.000577782,0.000577782
68,1958.65,0.80601,0.4476,0.857,0.97344,0.90441,0.95654,0.72537,0.7672,0.42916,0.87496,0.000561279,0.000561279,0.000561279
69,1987.6,0.80652,0.4426,0.855,0.96827,0.87207,0.94459,0.73731,0.76012,0.41699,0.87258,0.000544776,0.000544776,0.000544776
70,2015.81,0.80342,0.44139,0.85398,0.96486,0.89691,0.95002,0.73793,0.76575,0.42041,0.87295,0.000528272,0.000528272,0.000528272
71,2043.34,0.79183,0.43806,0.85325,0.96835,0.93675,0.96324,0.75056,0.77971,0.40963,0.87588,0.000511769,0.000511769,0.000511769
72,2070.39,0.79953,0.43863,0.85228,0.96767,0.90844,0.94131,0.72684,0.83187,0.44072,0.88216,0.000495266,0.000495266,0.000495266
73,2097.39,0.79128,0.43696,0.85257,0.97885,0.85065,0.94477,0.7249,0.78812,0.4316,0.87529,0.000478762,0.000478762,0.000478762
74,2124.37,0.78897,0.43862,0.8533,0.95599,0.93401,0.96384,0.73463,0.76805,0.39964,0.87311,0.000462259,0.000462259,0.000462259
75,2151.06,0.78808,0.43206,0.85256,0.94884,0.94726,0.96335,0.73841,0.78199,0.40072,0.87435,0.000445756,0.000445756,0.000445756
76,2177.96,0.77868,0.42658,0.85168,0.95054,0.95425,0.96977,0.743,0.79831,0.39762,0.87803,0.000429253,0.000429253,0.000429253
77,2204.6,0.78277,0.42562,0.84751,0.95488,0.9142,0.96248,0.73091,0.79993,0.40323,0.88053,0.000412749,0.000412749,0.000412749
